0	Index      	 *	Score 	Summary	Detail	
153	24114 32312	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	14VULN|2RMIN|3MBVNT|5ASPD|6DUR|7RCR|8BEXP|9DMG|aAART
154	24114 32712	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	14VULN|2RMIN|3MBVNT|5ASPD|6DUR|7RCR|8LWND|9DMG|aAART
155	24114 12812	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	14VULN|2RMIN|3MBVNT|5ASPD|6LHND|7RCR|8DUR|9DMG|aAART
156	24114 72812	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	14VULN|2RMIN|3MBVNT|5ASPD|6FEWX|7RCR|8DUR|9DMG|aAART
157	62333 12516	   	193.88	DCR|3VULN|1AART|1DMG|1DUR	1aLWND|2TLV|38aVULN|4DUR|5AART|6RCR|7DMG|9aLIT|aBPWR
158	22423 62313	   	193.83	DCR|2VULN|2DMG|2ASPD	13VULN|23LHND|3BPWR|4aASPD|5LWND|69DMG|7RCR|8BEXP
159	21533 12516	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	18aVULN|2LWND|3aERES|4DUR|5AART|6RCR|7DMG|9aLIT|aBPWR
160	22533 12516	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	18aVULN|2LHND|3aERES|4DUR|5AART|6RCR|7DMG|9aLIT|aBPWR
161	21233 12514	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	18aVULN|2LWND|3AME|4DUR|5AART|6RCR|7DMG|9LIT
162	22233 12514	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	18aVULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|9LIT
163	63233 12514	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	1LWND|28aVULN|3AME|4DUR|5AART|6RCR|7DMG|9LIT
164	23164 78222	   	193.77	DCR|3VULN|2ASPD|1DMG	15aVULN|2TLV|3MBVNT|4LIT|68ASPD|7RCR|9DMG
