0	Index      	 *	Score 	Summary	Detail	
117	35416 22212	   	194.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8FEWX|9BEXP|aAEFBLL
118	35416 23112	   	194.81	ACR|1BASARM|1ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7ZMB|8RCVC|9AART|aDUST
119	35416 23312	   	194.81	ACR|1BASARM|1ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|78ZMB|9AART|aDUST
120	34314 23123	   	194.74	ACR|1BASARM|2ASPD|2AAC|1SELL	1aAAC|2SELL|3LIT|4RCR|58ASPD|6BASARM|7MDPS|9VULN
121	44113 13314	   	194.73	ACR|1BASARM|2BEXP|1ASPD	1LIT|2DUR|3RCR|4CGEN|56BEXP|7BASARM|8DUST|9ASPD|aVULN
122	43114 23343	   	194.71	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1LIT|2SELL|3RMIN|4RCR|5ASPD|6BASARM|7MDPS|8DMG|9VULN|aBEXP
123	34512 16122	   	194.57	ACR|1BASARM|1DMG|1CDMG|1AART|1AAC|1SELL	1AAC|2SELL|3RCR|4DUST|5MULARM|6DMG|7BASARM|8AART|9CGEN|aCDMG
124	35412 26321	 * 	194.31	ACR|3ASPD|2BEXP|1CDMG|1AAC|1SELL	1AAC|2DLOT|3RCR|489ASPD|58BEXP|6MDPS|7SELL|8BPWR|aCDMG
125	34314 23136	   	193.61	ACR|1BASARM|2ASPD|1CDMG|1AAC|1SELL	1AAC|2SELL|3LIT|4RCR|58ASPD|6BASARM|7MDPS|9BELT|aCDMG
126	45233 12232	 * 	193.37	ACR|3BEXP|2ASPD|2VULN	1aLIT|2RCR|3aASPD|4DUST|589BEXP|6FEWX|7aVULN|aBPWR
127	35416 12111	   	193.04	ACR|1BASARM|2ASPD|2AAC	17AAC|2DLOT|3RCR|48ASPD|5BASARM|6FEWX|9LIT|aLWND
128	35416 12112	   	193.04	ACR|1BASARM|2ASPD|2AAC	17AAC|2DLOT|3RCR|48ASPD|5BASARM|6FEWX|9LIT|aMLV
129	35416 12113	   	193.04	ACR|1BASARM|2ASPD|2AAC	17AAC|2DLOT|3RCR|48ASPD|5BASARM|6FEWX|9LIT|aBELT
130	35416 12132	   	193.04	ACR|1BASARM|2ASPD|2AAC	17AAC|2DLOT|3RCR|48ASPD|5BASARM|6FEWX|9MLV|aLIT
131	35416 12133	   	193.04	ACR|1BASARM|2ASPD|2AAC	17AAC|2DLOT|3RCR|48ASPD|5BASARM|6FEWX|9MLV|aBELT
132	44161 13312	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2DUR|3RCR|4ASPD|5SNIFST|6BEXP|7DMG|8RCVC|9DMSP|aBASARM
133	35416 12131	   	192.94	ACR|1BASARM|2ASPD|2AAC	17AAC|2DLOT|3RCR|48ASPD|5BASARM|6FEWX|9MLV|aDUST
134	41161 13312	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2DUST|3RCR|4ASPD|5SNIFST|6BEXP|7DMG|8RCVC|9DMSP|aBASARM
135	45313 33513	   	192.79	ACR|1BASARM|2BEXP|1ASPD	1LIT|2RCR|3MBVNT|46CGEN|5aBEXP|7BASARM|8DUR|9ASPD
136	45513 13312	   	192.79	ACR|1BASARM|2BEXP|1ASPD	1aLIT|2RCR|3DUR|4CGEN|56BEXP|7BASARM|8DUST|9ASPD
137	44113 15132	   	192.75	ACR|1BASARM|3BEXP|1AART	1LIT|2DUR|3RCR|4CGEN|569BEXP|7AART|8LWND|aBASARM
138	44113 15332	   	192.75	ACR|1BASARM|3BEXP|1AART	1LIT|2DUR|3RCR|4CGEN|569BEXP|7AART|8FEWX|aBASARM
139	44113 34132	   	192.75	ACR|1BASARM|3BEXP|1AART	1LIT|2DUR|3RCR|4CGEN|579BEXP|6AART|8LWND|aBASARM
140	44113 34332	   	192.75	ACR|1BASARM|3BEXP|1AART	1LIT|2DUR|3RCR|4CGEN|579BEXP|6AART|8FEWX|aBASARM
141	41135 15232	   	192.55	ACR|1BASARM|3BEXP|1AART	1LIT|2DUST|3RCR|4FEWX|579BEXP|6AART|8AME|aBASARM
142	45343 22712	 * 	192.44	ACR|2BASARM|1ASPD|1CDMG	17LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6aBASARM|8RPLT|9ASPD
143	45343 27412	   	192.44	ACR|2BASARM|1ASPD|1CDMG	18LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6aBASARM|7RPLT|9ASPD
144	45513 13323	   	192.30	ACR|1BASARM|3BEXP|1AAC	1LIT|2RCR|3DUR|4CGEN|56aBEXP|7BASARM|8DUST|9AAC
145	43114 23124	   	192.24	ACR|1BASARM|2ASPD|1AART|1SELL	1LIT|2SELL|3RMIN|4RCR|58ASPD|6BASARM|7MDPS|9VULN|aAART
146	45383 24232	   	192.03	ACR|1BASARM|1CDMG|1BEXP|1AART	1LIT|2RCR|3MBVNT|4DMSP|5CDMG|6BASARM|7ERES|8AART|9VULN|aBEXP
147	45343 24232	   	191.93	ACR|1BASARM|1CDMG|1BEXP|1AART	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7ERES|8AART|9VULN|aBEXP
148	45343 25232	   	191.93	ACR|1BASARM|1BEXP|1CDMG|1AART	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7AME|8AART|9VULN|aBEXP
149	45343 25242	   	191.93	ACR|1BASARM|1BEXP|1CDMG|1AART	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7AME|8AART|9BEXP|aVULN
