0	Index      	 *	Score 	Summary	Detail	
131	21525 21138	   	195.63	DCR|2DMG|1MDPS|1VULN|1ASPD|1NUKE|1ZMB|1DUR	1DUR|2ASPD|3MDPS|46DMG|5VULN|7ZMB|8RCR|9MBVNT|aNUKE
132	23331 11364	   	195.63	DCR|2VULN|1AART|1ASPD|3DUR|2ZMB	136DUR|2RCVC|36BPWR|4AART|56VULN|78ZMB|9ASPD|aRCR
133	21222 23464	 * 	195.23	DCR|2DMG|2ASPD|1AART|2DUR|1ZMB	14DUR|24ASPD|3DLOT|4BPWR|5ZMB|6CGEN|79DMG|8RCR|aAART
134	21522 53232	   	195.13	DCR|2VULN|1MDPS|2ASPD|1DMG|2DUR|1AAC	18DUR|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9LHND|aAAC
135	21522 53242	   	195.13	DCR|2VULN|1MDPS|2ASPD|1DMG|2DUR|1AAC	18DUR|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9FEWX|aAAC
136	21523 53232	   	195.03	DCR|2VULN|1MDPS|2ASPD|1DMG|2DUR|1AAC	18DUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9LHND|aAAC
137	21523 53242	   	195.03	DCR|2VULN|1MDPS|2ASPD|1DMG|2DUR|1AAC	18DUR|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9FEWX|aAAC
138	21522 51315	   	194.96	DCR|2VULN|2DMG|1MDPS|1ASPD|2DUR	19DUR|2ASPD|3MDPS|47DMG|5MLV|6RCR|8aVULN
139	31621 43132	   	194.86	DCR|3VULN|2DMG|2CDMG	19TLV|28CDMG|39DMG|469VULN|5BELT|7DLOT|9BPWR|aRCR
140	21545 23113	 * 	194.85	DCR|2VULN|1MDPS|2AAC|1AART|1ASPD|1DMG|1DUR	1DUR|2ASPD|3MDPS|4aAAC|57VULN|6DMG|8RCR|9AART
141	21522 51433	   	194.73	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1AAC|1DUR	1DUR|2ASPD|3MDPS|47DMG|5MLV|6RCR|8AART|9VULN|aAAC
142	21523 51433	   	194.63	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1AAC|1DUR	1DUR|2ASPD|3MDPS|47DMG|5TLV|6RCR|8AART|9VULN|aAAC
143	21565 23133	   	194.61	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4ZMB|57VULN|6DMG|8RCR|9MBVNT|aCDMG
144	11522 53223	   	194.49	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9BEXP|aCDMG
145	11522 53231	   	194.49	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9CDMG|aRPLT
