0	Index      	 *	Score 	Summary	Detail	
129	22341 23165	   	186.86	ACR|1BASARM|2DMG|1ASPD	12DMG|3CGEN|4DMSP|5RCR|6AEFBLL|7LWND|8ERES|9ASPD|aBASARM
130	22162 23613	 * 	186.76	DCR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	12DMG|3AEFBLL|4RMIN|5CDMG|6BASARM|7ERES|8VULN|9ASPD|aRCR
131	22462 23613	   	186.76	DCR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	12DMG|3AEMAG|4RMIN|5CDMG|6BASARM|7ERES|8VULN|9ASPD|aRCR
132	22141 14135	   	186.76	ACR|1BASARM|2DMG|1ASPD	12DMG|3AEFBLL|4CGEN|5RCR|68ERES|7ASPD|9LWND|aBASARM
133	22161 14121	   	186.76	ACR|1BASARM|2DMG|1ASPD	12DMG|3AEFBLL|4RMIN|5RCR|68ERES|7ASPD|9BASARM|aDUR
134	22161 14123	   	186.76	ACR|1BASARM|2DMG|1ASPD	12DMG|3AEFBLL|4RMIN|5RCR|68ERES|7ASPD|9BASARM|aFEWX
135	22161 14126	   	186.76	ACR|1BASARM|2DMG|1ASPD	12DMG|3AEFBLL|4RMIN|5RCR|68ERES|7ASPD|9BASARM|aZMB
136	22461 14121	   	186.76	ACR|1BASARM|2DMG|1ASPD	12DMG|3AEMAG|4RMIN|5RCR|68ERES|7ASPD|9BASARM|aDUR
137	22461 14123	   	186.76	ACR|1BASARM|2DMG|1ASPD	12DMG|3AEMAG|4RMIN|5RCR|68ERES|7ASPD|9BASARM|aFEWX
138	53233 62131	   	186.72	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	1BELT|2LIT|3RCR|4MDPS|5CDMG|6DMG|7AART|8ASPD|9aBEXP
139	22161 14124	   	186.66	ACR|1BASARM|2DMG|1ASPD	12DMG|3aAEFBLL|4RMIN|5RCR|68ERES|7ASPD|9BASARM
140	22161 14125	   	186.66	ACR|1BASARM|2DMG|1ASPD	12DMG|3AEFBLL|4RMIN|5RCR|68ERES|7ASPD|9BASARM|aFLTFST
141	22161 25632	   	186.66	ACR|1BASARM|2DMG|1ASPD	12DMG|36AEFBLL|4RMIN|5RCR|7ASPD|8AEMAG|9BASARM|aAME
142	25534 62234	   	185.59	ACR|2VULN|3BEXP|2DMG	17DMG|2LEGI|3MBVNT|479BEXP|5RCR|67VULN|7BPWR|8RCVC|aRPLT
143	12544 11211	   	185.55	ACR|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|2CGEN|3CDMG|4RCR|5ASPD|6MDPS|7aDMG|9ERES
144	12544 11212	   	185.55	ACR|2ASPD|2BEXP|1DMG|1CDMG	18BEXP|2CGEN|3CDMG|4RCR|5aASPD|6MDPS|7DMG|9ERES
145	31544 11211	   	185.55	ACR|2DMG|2BEXP|1ASPD|1CDMG	1AAC|28BEXP|3CDMG|4RCR|5ASPD|6MDPS|7aDMG|9CGEN
146	31544 11212	   	185.55	ACR|2ASPD|2BEXP|1DMG|1CDMG	1AAC|28BEXP|3CDMG|4RCR|5aASPD|6MDPS|7DMG|9CGEN
147	22341 52232	 * 	185.51	ACR|3DMG|2ASPD|1AART	12aDMG|3CGEN|4DMSP|5RCR|6ZMB|7AART|89ASPD
148	22341 62232	   	185.51	ACR|3DMG|2ASPD|1AART	12aDMG|3CGEN|4DMSP|5RCR|6RMIN|7AART|89ASPD
149	25534 62224	   	185.49	ACR|2VULN|3BEXP|2DMG	17DMG|2LEGI|3MBVNT|47aBEXP|5RCR|67VULN|7BPWR|8RCVC|9MDPS
150	25534 62231	   	185.49	ACR|2VULN|3BEXP|2DMG	17DMG|2LEGI|3MBVNT|479BEXP|5RCR|67VULN|7BPWR|8RCVC|aMDPS
151	25534 62233	   	185.49	ACR|2VULN|3BEXP|2DMG	17DMG|2LEGI|3MBVNT|479BEXP|5RCR|67VULN|7BPWR|8RCVC|aAME
152	22141 52232	   	185.41	ACR|3DMG|2ASPD|1AART	12aDMG|3AEFBLL|4CGEN|5RCR|6ZMB|7AART|89ASPD
153	22141 62232	   	185.41	ACR|3DMG|2ASPD|1AART	12aDMG|3AEFBLL|4CGEN|5RCR|6RMIN|7AART|89ASPD
154	22161 52232	   	185.41	ACR|3DMG|2ASPD|1AART	12aDMG|3AEFBLL|4RMIN|5RCR|6ZMB|7AART|89ASPD
155	22441 52232	   	185.41	ACR|3DMG|2ASPD|1AART	12aDMG|3AEMAG|4CGEN|5RCR|6ZMB|7AART|89ASPD
156	22441 62232	   	185.41	ACR|3DMG|2ASPD|1AART	12aDMG|3AEMAG|4CGEN|5RCR|6RMIN|7AART|89ASPD
157	22461 52232	   	185.41	ACR|3DMG|2ASPD|1AART	12aDMG|3AEMAG|4RMIN|5RCR|6ZMB|7AART|89ASPD
158	22161 12232	   	185.31	ACR|3DMG|2ASPD|1AART	12aDMG|3AEFBLL|4RMIN|5RCR|6ERES|7AART|89ASPD
