0	Index      	 *	Score 	Summary	Detail	
101	31336 42331	   	198.31	ACR|2VULN|2DMG|1ASPD|1CDMG|1BEXP	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7ZMB|8MLV|9ASPD
102	31336 43131	   	198.31	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7RMIN|8ZMB|9ASPD
103	31336 43231	   	198.31	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7RMIN|8CGEN|9ASPD
104	33316 41112	   	198.31	ACR|2VULN|2ASPD|1DMG|1BEXP|1CDMG	1BEXP|2aASPD|36VULN|4CDMG|5RCR|7aFEWX|8DMG|9aAME|aBPWR
105	31336 21365	   	198.23	ACR|3BEXP|2DMG|1VULN|1CDMG|1AAC	179BEXP|2CDMG|39DMG|4VULN|5RCR|6DUR|89LWND|9BPWR|aAAC
106	33351 35613	   	198.22	1BASARM|3BEXP|2ASPD|2DMG|1VULN|1CDMG	158BEXP|28ASPD|3VULN|45DMG|58BPWR|678CGEN|9CDMG|aBASARM
107	31336 41151	   	198.21	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7FEWX|8ASPD|9AEMAG
108	31336 42231	   	198.21	ACR|2VULN|2DMG|1ASPD|1CDMG|1BEXP	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7ZMB|8TLV|9ASPD
109	31336 42431	   	198.21	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7ZMB|8ERES|9ASPD
110	31336 42631	   	198.21	ACR|2VULN|2DMG|1ASPD|1CDMG|1BEXP	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7ZMB|8AME|9ASPD
111	31336 43431	   	198.21	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7RMIN|8ERES|9ASPD
112	31336 43631	   	198.21	ACR|2VULN|2DMG|1ASPD|1CDMG|1BEXP	1BEXP|2CDMG|3aDMG|46VULN|5RCR|7RMIN|8AME|9ASPD
113	33316 41151	   	198.21	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|36VULN|4CDMG|5RCR|7FEWX|8aDMG|9AEMAG
114	31336 45131	   	198.11	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|46VULN|5RCR|79DUST|8ASPD
115	33316 45131	   	198.11	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|36VULN|4CDMG|5RCR|79DUST|8aDMG
116	31336 21123	   	197.58	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17BEXP|2CDMG|3DMG|4VULN|5RCR|6DUR|8ASPD|9CGEN|aAART
117	31336 21463	   	197.58	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17BEXP|2CDMG|3DMG|4VULN|5RCR|6DUR|8LIT|9ASPD|aAART
118	33316 21123	   	197.58	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUR|8DMG|9CGEN|aAART
119	33316 21463	   	197.58	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUR|8LIT|9DMG|aAART
120	33116 41123	   	197.58	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	17BEXP|2ASPD|3LWND|4CDMG|5RCR|6VULN|8DMG|9CGEN|aAART
121	31336 21113	   	197.48	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17BEXP|2CDMG|3DMG|4VULN|5RCR|6DUR|8ASPD|9AME|aAART
122	33316 21113	   	197.48	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUR|8DMG|9AME|aAART
123	33116 41113	   	197.48	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	17BEXP|2ASPD|3LWND|4CDMG|5RCR|6VULN|8DMG|9AME|aAART
124	31336 41123	   	197.37	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP	1BEXP|2CDMG|3DMG|46VULN|5RCR|7FEWX|8ASPD|9CGEN|aAART
125	33316 41123	   	197.37	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP	1BEXP|2ASPD|36VULN|4CDMG|5RCR|7FEWX|8DMG|9CGEN|aAART
126	33316 46213	   	197.37	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP	1BEXP|2ASPD|36VULN|4CDMG|5RCR|7LIT|8DMG|9DUR|aAART
127	33316 46233	   	197.37	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP	1BEXP|2ASPD|36VULN|4CDMG|5RCR|7LIT|8DMG|9LHND|aAART
128	31336 41113	   	197.27	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1BEXP|2CDMG|3DMG|46VULN|5RCR|7FEWX|8ASPD|9AME|aAART
129	33316 41113	   	197.27	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1BEXP|2ASPD|36VULN|4CDMG|5RCR|7FEWX|8DMG|9AME|aAART
130	61136 25442	 * 	196.87	ACR|3DMG|2VULN|2CDMG|1AAC	1MBVNT|2aCDMG|3AAC|4aVULN|5RCR|6DUR|7ERES|89aDMG|aBPWR
