0	Index      	 *	Score 	Summary	Detail	
159	31413 25123	   	155.39	ACR|2VULN|2DMG|2CDMG	1RPLT|29BEXP|39DMG|4LWND|5RCR|68VULN|79CDMG|9BPWR|aLHND
160	31413 24622	   	155.39	ACR|2VULN|2DMG|2CDMG	1RPLT|29BEXP|39DMG|4LWND|5RCR|67VULN|89CDMG|9BPWR|aRCVC
161	31413 24623	   	155.39	ACR|2VULN|2DMG|2CDMG	1RPLT|29BEXP|39DMG|4LWND|5RCR|67VULN|89CDMG|9BPWR|aLHND
162	31413 25125	   	155.29	ACR|2VULN|2DMG|2CDMG	1RPLT|29BEXP|39DMG|4LWND|5RCR|68VULN|79CDMG|9BPWR|aERES
163	11343 42251	   	155.28	DCR|3VULN|1AART|1DMG	1DUST|2LWND|345VULN|6LHND|7AART|8ERES|9RCR|aDMG
164	22343 42251	   	155.28	DCR|3VULN|1AART|1DMG	1LWND|2DUST|345VULN|6LHND|7AART|8ERES|9RCR|aDMG
165	13312 42251	   	155.28	DCR|3VULN|1AART|1DMG	1DUST|234VULN|5LWND|6LHND|7AART|8ERES|9RCR|aDMG
166	13333 22251	   	155.28	DCR|3VULN|1AART|1DMG	1DUST|235VULN|4LHND|6LWND|7AART|8ERES|9RCR|aDMG
167	11343 52251	   	155.18	DCR|3VULN|1AART|1DMG	1DUST|2LWND|345VULN|6LEGI|7AART|8ERES|9RCR|aDMG
168	22343 52251	   	155.18	DCR|3VULN|1AART|1DMG	1LWND|2DUST|345VULN|6LEGI|7AART|8ERES|9RCR|aDMG
169	13312 52251	   	155.18	DCR|3VULN|1AART|1DMG	1DUST|234VULN|5LWND|6LEGI|7AART|8ERES|9RCR|aDMG
