0	Index      	 *	Score 	Summary	Detail	
124	64323 43311	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|28FEWX|369VULN|4RCR|5AART|7TLV|aDMG
125	64323 51311	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|28FEWX|379VULN|4RCR|5AART|6ERES|aDMG
126	63362 16132	   	168.70	DCR|2VULN|2AART|1CDMG|1ZMB|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DUST|8ZMB|9aAART
127	31613 31636	   	168.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|23VULN|4DMSP|5CDMG|6LWND|7RCR|8AART|9ZMB|aDMG
128	11321 65133	   	168.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	15BEXP|2aVULN|3DMG|4RCR|6CDMG|7LWND|8ZMB|9AART
129	11322 12131	   	168.50	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|37DMG|4RCR|5CDMG|6FEWX|8ZMB|9AART|aCGEN
130	11322 12132	   	168.50	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|37DMG|4RCR|5CDMG|6FEWX|8ZMB|9AART|aDMSP
131	11323 25133	   	168.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	16BEXP|2aVULN|3DMG|4RCR|5LWND|7CDMG|8ZMB|9AART
132	11323 53133	   	168.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2aVULN|3DMG|4RCR|57LWND|6CDMG|8ZMB|9AART
133	11325 25133	   	168.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	16BEXP|2aVULN|3DMG|4RCR|5LHND|7CDMG|8ZMB|9AART
134	11325 52133	   	168.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2aVULN|3DMG|4RCR|57LHND|6CDMG|8ZMB|9AART
135	11325 53133	   	168.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17BEXP|2aVULN|3DMG|4RCR|5LHND|6CDMG|8ZMB|9AART
136	12321 64133	   	168.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	15BEXP|2LHND|3DMG|4RCR|6CDMG|7aVULN|8ZMB|9AART
