0	Index      	 *	Score 	Summary	Detail	
154	11142 12222	   	178.15	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|2BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|8DMSP|aFEWX
155	11142 12322	   	178.15	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|28BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|aFEWX
156	11142 12522	   	178.15	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|2BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|8RCVC|aFEWX
157	14142 12222	   	178.15	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|2FEWX|379VULN|4RCR|5AART|679ASPD|79BPWR|8DMSP|aBEXP
158	26231 25432	   	178.13	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1LEGI|25VULN|3TLV|4CDMG|6ZMB|7aAART|8RCR|9DMG
159	26321 25432	   	178.13	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1LEGI|25VULN|3CDMG|4ERES|6ZMB|7aAART|8RCR|9DMG
160	11142 12221	   	178.05	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|2BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|8DMSP|aERES
161	11142 12226	   	178.05	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|2BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|8DMSP|aTLV
162	11142 12321	   	178.05	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|28BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|aERES
163	11142 12326	   	178.05	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|28BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|aTLV
164	11142 12521	   	178.05	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|2BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|8RCVC|aERES
165	11142 12526	   	178.05	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|2BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|8RCVC|aTLV
166	14142 12221	   	178.05	ACR|3VULN|1AART|3ASPD|3DUR	179DUR|2FEWX|379VULN|4RCR|5AART|679ASPD|79BPWR|8DMSP|aERES
