0	Index      	 *	Score 	Summary	Detail	
151	26133 15433	   	179.47	ACR|3DMG|1AART|1VULN|2DUR|1ASPD	17CGEN|27aDMG|3MLV|4RCR|5ASPD|67DUR|7BPWR|8AART|9VULN
152	16222 65313	   	179.47	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|27DMG|37VULN|47BEXP|5RCVC|6RCR|7BPWR|8CGEN|9CDMG|aAART
153	16133 14381	 * 	179.47	DCR|3DMG|2VULN|1AART	1RMIN|249DMG|3TLV|5MBVNT|6RCR|7aVULN|8AART
154	31425 52312	   	179.44	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2FEWX|3MLV|4RCR|59DMG|68VULN|7RCVC|aZMB
155	31125 52312	   	179.34	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2FEWX|3ERES|4RCR|59DMG|68VULN|7RCVC|aZMB
156	32125 52312	   	179.34	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|3FEWX|4RCR|59DMG|68VULN|7RCVC|aZMB
157	44213 41217	 * 	179.16	DCR|3VULN|2AART|2CDMG|2DUR	18DUR|2FEWX|368VULN|4MBVNT|58CDMG|7aAART|8BPWR|9RCR
158	31625 31361	   	179.15	ACR|3VULN|1AART|1DMG|2ZMB	1AART|2FEWX|36ZMB|4RCR|5DMG|789VULN|aLIT
159	31625 31363	   	179.15	ACR|3VULN|1AART|1DMG|2ZMB	1AART|2FEWX|36ZMB|4RCR|5DMG|789VULN|aLWND
160	32522 61363	   	178.83	ACR|4VULN|1AART|1CDMG|1ASPD	1AART|25ERES|3589VULN|4RCR|5BPWR|6FEWX|7ASPD|aCDMG
161	31625 31352	   	178.64	ACR|2VULN|1AART|3ZMB|1DMG	1AART|2FEWX|36aZMB|4RCR|5DMG|78VULN|9RCVC
162	23825 41235	 * 	178.64	ACR|4VULN|2DMG|1CDMG	17CGEN|2MBVNT|3DUST|479aVULN|5RCR|67DMG|7BPWR|8CDMG
163	23825 41261	 * 	178.28	ACR|3VULN|2DMG|2ASPD|1CDMG	17aCGEN|2MBVNT|3DUST|47aVULN|5RCR|67DMG|7aBPWR|8CDMG|9aASPD
164	32522 33113	   	178.27	ACR|2VULN|2DMG|1AART|2DUR	1AART|258ERES|35VULN|4RCR|58BPWR|68CANHEL|78DUR|9aDMG
165	32525 51341	   	178.20	ACR|4VULN|1AART|1DMG	1AART|2ERES|3679VULN|4RCR|5DMG|8MBVNT|aLIT
166	32525 51342	   	178.20	ACR|4VULN|1AART|1DMG	1AART|2ERES|3679VULN|4RCR|5DMG|8MBVNT|aRMIN
167	32525 51344	   	178.20	ACR|4VULN|1AART|1DMG	1AART|2ERES|3679VULN|4RCR|5DMG|8MBVNT|aMLV
