0	Index      	 *	Score 	Summary	Detail	
140	54332 25132	   	189.40	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7RCVC|8RCR|9LWND|aBEXP
141	54332 25133	   	189.40	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7RCVC|8RCR|9LWND|aLHND
142	24262 22623	   	189.31	DCR|3VULN|1ASPD|1DMG|2ZMB	1LWND|2ASPD|38ZMB|4LHND|57aVULN|6DMG|9RCR
143	52223 32216	   	189.25	DCR|2VULN|2DMG|1CDMG|2DUR|1AAC	18DUR|2aVULN|3DLOT|48DMG|58LWND|6AAC|7RCR|8BPWR|9CDMG
144	55226 32211	   	189.25	DCR|2VULN|2DMG|1CDMG|2DUR|1AAC	18DUR|2LWND|3DLOT|48DMG|58VULN|6AAC|7RCR|8BPWR|9CDMG|aRPLT
145	55226 32212	   	189.25	DCR|2VULN|2DMG|1CDMG|2DUR|1AAC	18DUR|2LWND|3DLOT|48DMG|58VULN|6AAC|7RCR|8BPWR|9CDMG|aFEWX
146	22226 42326	   	189.19	DCR|4VULN|1DMG|2DUR	1aLWND|258aVULN|3DLOT|4DMG|6MLV|7RCR|9aDUR|aBPWR
147	55226 32213	   	189.15	DCR|2VULN|2DMG|1CDMG|2DUR|1AAC	18DUR|2LWND|3DLOT|48DMG|58VULN|6AAC|7RCR|8BPWR|9CDMG|aMSLREG
148	22226 12326	   	189.09	DCR|4VULN|1DMG|2DUR	1aLWND|258aVULN|3DLOT|4DMG|6ERES|7RCR|9aDUR|aBPWR
149	24262 22621	   	189.06	DCR|2VULN|2DMG|1ASPD|2ZMB	1LWND|2ASPD|38ZMB|4LHND|57VULN|6aDMG|9RCR
150	52222 32216	   	189.05	DCR|2VULN|2DMG|1CDMG|1AAC|2DUR	18DUR|2aVULN|3DLOT|48DMG|58DUST|6AAC|7RCR|8BPWR|9CDMG
151	22226 12633	 * 	188.92	DCR|3VULN|1MDPS|1ASPD|1DMG	1LWND|259VULN|3DLOT|4DMG|6ERES|7RCR|8ASPD|aMDPS
152	52131 22516	   	188.90	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUR|2VULN|3BEXP|4AME|5ZMB|6DMG|7ASPD|8RCR|9AART|aSPLREG
153	54332 63221	   	188.80	DCR|3VULN|2ASPD|2DUR|1AAC	13DUR|25ASPD|457VULN|5BPWR|6LWND|8RCR|9AAC|aCGEN
154	54332 63222	   	188.80	DCR|3VULN|2ASPD|2DUR|1AAC	13DUR|25ASPD|457VULN|5BPWR|6LWND|8RCR|9AAC|aBEXP
155	54332 63223	   	188.80	DCR|3VULN|2ASPD|2DUR|1AAC	13DUR|25ASPD|457VULN|5BPWR|6LWND|8RCR|9AAC|aLHND
156	51223 22516	   	188.80	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1DUR|2ERES|3ZMB|4BEXP|5VULN|6DMG|7ASPD|8RCR|9AART|aSPLREG
157	52331 22516	   	188.80	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUR|2VULN|3DUST|4AME|5ZMB|6DMG|7ASPD|8RCR|9AART|aSPLREG
