0	Index      	 *	Score 	Summary	Detail	
102	44632 31231	   	214.32	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	1VULN|2RCR|36DUST|48BEXP|5ASPD|7aDMG|9CDMG
103	64232 31231	   	214.32	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	16DUST|2RCR|3VULN|48BEXP|5ASPD|7aDMG|9CDMG
104	21238 14233	   	214.18	ACR|2BASARM|3VULN|3BEXP	1MBVNT|246BEXP|39aVULN|5RCR|7aCGEN|8aBASARM|aBPWR
105	34614 11222	 * 	214.06	ACR|3BEXP|2ASPD|2DMG	15aBEXP|2RCR|357DUST|4RCVC|5aBPWR|6DMSP|8aASPD|9aDMG
106	21238 16233	   	213.98	ACR|2BASARM|3VULN|3BEXP	1MBVNT|246BEXP|39aVULN|5RCR|7aERES|8aBASARM|aBPWR
107	44214 13232	 * 	213.70	ACR|2VULN|2ASPD|1AART|1BEXP|1CDMG	13VULN|2RCR|47ERES|59ASPD|6AART|8BEXP|aCDMG
108	34222 26311	   	213.48	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	1aBEXP|2RCR|3VULN|4DUR|5ASPD|6CDMG|7DMG|8AME|9AART
109	34222 26411	   	213.48	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	1aBEXP|2RCR|3VULN|4DUR|5ASPD|6CDMG|7DMG|8TLV|9AART
110	34233 63512	   	213.48	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	14BEXP|2RCR|3VULN|5MDPS|6MLV|7ASPD|8DMG|9AART|aCDMG
111	34235 11222	   	213.41	ACR|1BASARM|3BEXP|1VULN|1CDMG	146BEXP|2RCR|3VULN|5ERES|7LWND|8BASARM|9CDMG|aLHND
112	34235 11224	   	213.41	ACR|1BASARM|3BEXP|1VULN|1CDMG	146BEXP|2RCR|3VULN|5ERES|7LWND|8BASARM|9CDMG|aRPLT
113	34333 26533	   	213.41	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2RCR|3CGEN|4aVULN|5aDUR|6CDMG|7aDMG|8MSLFST|9ASPD|aBPWR
114	34252 26311	   	213.38	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	1aBEXP|2RCR|3VULN|4DUST|5ASPD|6CDMG|7DMG|8AME|9AART
115	64232 26311	   	213.38	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	1DUST|2RCR|3VULN|4aBEXP|5ASPD|6CDMG|7DMG|8AME|9AART
116	34222 22415	   	213.37	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1BEXP|2RCR|38VULN|4DUR|5ASPD|6CDMG|7LHND|9AART|aDMG
117	34235 11221	   	213.31	ACR|1BASARM|3BEXP|1VULN|1CDMG	146BEXP|2RCR|3VULN|5ERES|7LWND|8BASARM|9CDMG|aDUST
118	34235 11226	   	213.31	ACR|1BASARM|3BEXP|1VULN|1CDMG	146BEXP|2RCR|3VULN|5ERES|7LWND|8BASARM|9CDMG|aLEGI
119	34351 13132	   	213.21	ACR|2ASPD|2BEXP|1VULN|1AART|1CDMG	19BEXP|2RCR|3CGEN|49LHND|5CDMG|6VULN|7AART|89ASPD|9BPWR|aDUST
120	34351 13134	   	213.21	ACR|2ASPD|2BEXP|1VULN|1AART|1CDMG	19BEXP|2RCR|3CGEN|49LHND|5CDMG|6VULN|7AART|89ASPD|9BPWR|aTLV
121	34354 23132	   	213.21	ACR|2ASPD|2BEXP|1VULN|1AART|1CDMG	19BEXP|2RCR|3CGEN|49LHND|5VULN|6CDMG|7AART|89ASPD|9BPWR|aDUST
122	21288 24173	   	212.90	ACR|2BASARM|3BEXP|1VULN|1CDMG	1MBVNT|28aBEXP|3VULN|4aAEFBLL|5RCR|6TLV|7CDMG|9aBASARM|aBPWR
123	21238 47345	 * 	212.89	ACR|3ASPD|3BEXP|1VULN|1DMG	1MBVNT|248BEXP|3VULN|5RCR|68aASPD|78CGEN|8BPWR|9DMG
124	34133 12351	   	212.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	14BEXP|2RCR|3MULARM|58BELT|6RMIN|7ASPD|9BASARM|aDMG
125	34133 22351	   	212.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	14BEXP|2RCR|3MULARM|58BELT|6ZMB|7ASPD|9BASARM|aDMG
126	34133 12151	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	14BEXP|2RCR|3MULARM|5BELT|6RMIN|7ASPD|8AEFBLL|9BASARM|aDMG
127	34133 22151	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	14BEXP|2RCR|3MULARM|5BELT|6ZMB|7ASPD|8AEFBLL|9BASARM|aDMG
128	34333 31346	   	212.60	ACR|2VULN|2DMG|2BEXP|1ASPD	18BEXP|2RCR|3CGEN|48VULN|5DUR|6AEMAG|78DMG|8BPWR|9RPLT|aASPD
129	34263 26322	 * 	212.56	ACR|2VULN|2BEXP|1ASPD|1BASICY|1AART	1aBEXP|2RCR|38VULN|4LIT|5BASICY|6DUR|7AART|9ASPD
130	44632 11311	   	212.50	ACR|2VULN|2DMG|2BEXP|1ASPD	19VULN|2RCR|3DUST|49BEXP|5ASPD|6DUR|7MDPS|89DMG|9BPWR|aCGEN
131	44632 11312	   	212.50	ACR|2VULN|2DMG|2BEXP|1ASPD	19VULN|2RCR|3DUST|49BEXP|5ASPD|6DUR|7MDPS|89DMG|9BPWR|aLWND
132	34335 33633	   	212.50	ACR|2VULN|2DMG|2BEXP|1ASPD	1aBEXP|2RCR|36CGEN|4aVULN|58DMG|7ASPD|9aTLV|aBPWR
133	44632 11313	   	212.40	ACR|2VULN|2DMG|2BEXP|1ASPD	19VULN|2RCR|3DUST|49BEXP|5ASPD|6DUR|7MDPS|89DMG|9BPWR|aERES
134	34235 12351	   	212.38	ACR|2VULN|3BEXP|1ASPD|1DMG|1AAC	146BEXP|2RCR|37VULN|5ERES|8DMG|9ASPD|aAAC
135	21238 47244	   	212.15	ACR|1BASARM|2ASPD|1VULN|2BEXP	1MBVNT|24BEXP|3VULN|5RCR|6aASPD|7CGEN|8RMIN|9BASARM
136	14633 31353	 * 	211.77	ACR|3VULN|3DMG|1ASPD	158DUR|2RCR|3DUST|478DMG|689VULN|8BPWR|aASPD
137	34331 15123	 * 	211.39	ACR|3VULN|3BEXP|2BASICY|1CDMG	18aBEXP|2RCR|3CGEN|46aVULN|5CDMG|7FEWX|9aBASICY|aBPWR
138	34331 25423	   	211.39	ACR|3VULN|3BEXP|2BASICY|1CDMG	16aBEXP|2RCR|3CGEN|48aVULN|5CDMG|7FEWX|9aBASICY|aBPWR
139	34334 14123	   	211.39	ACR|3VULN|3BEXP|2BASICY|1CDMG	16aBEXP|2RCR|3CGEN|45aVULN|7CDMG|8LWND|9aBASICY|aBPWR
140	44136 22211	 * 	211.36	ACR|3VULN|1BASARM|1DMG|1BEXP	178VULN|2RCR|3FLTARM|4BEXP|5LWND|6BASARM|9DMSP|aDMG
141	44136 22232	   	211.36	ACR|3VULN|1BASARM|1ASPD|1BEXP	178VULN|2RCR|3FLTARM|4BEXP|5LWND|6BASARM|9ASPD|aFEWX
142	44336 22211	   	211.36	ACR|3VULN|1BASARM|1DMG|1BEXP	178VULN|2RCR|3LSRREG|4BEXP|5LWND|6BASARM|9DMSP|aDMG
143	44336 22232	   	211.36	ACR|3VULN|1BASARM|1ASPD|1BEXP	178VULN|2RCR|3LSRREG|4BEXP|5LWND|6BASARM|9ASPD|aFEWX
144	31623 64123	 * 	211.35	ACR|2VULN|3BEXP|2BASICY|1ASPD|1CDMG	18aBEXP|2ERES|3aVULN|4RMIN|5RCR|6CDMG|7ASPD|9aBASICY|aBPWR
145	41223 64123	   	211.35	ACR|2VULN|3BEXP|2BASICY|1ASPD|1CDMG	1aVULN|2ERES|38aBEXP|4RMIN|5RCR|6CDMG|7ASPD|9aBASICY|aBPWR
146	34124 21521	 * 	211.34	ACR|1BASARM|2BEXP|1ASPD|1AART	17BEXP|2RCR|3MULARM|4LIT|5DUST|6AART|8ASPD|9BASARM|aDUR
147	34335 33262	   	211.33	ACR|3BEXP|2ASPD|1VULN|1DMG	19aBEXP|2RCR|369CGEN|4VULN|5DMG|79ASPD|8RMIN|9BPWR
148	34334 14223	   	211.29	ACR|3VULN|3BEXP|2BASICY|1CDMG	16aBEXP|2RCR|3CGEN|45aVULN|7CDMG|8DUST|9aBASICY|aBPWR
149	44132 22352	   	211.26	ACR|3VULN|1BASARM|1DMG|1BEXP	17aVULN|2RCR|3FLTARM|4BEXP|5DUST|6BASARM|8MLV|9DMG
