0	Index      	Bounty	 *	Score 	Summary	Detail	
134	34161 53311	3	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aDUST
135	34161 53314	3	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aERES
136	32351 12166	3	 * 	249.49	DCR|2VULN|2DMG|2CDMG|2AART|1DUR	17AART|2RMIN|38DMG|48VULN|5RCVC|68CDMG|8BPWR|9RCR|aDUR
137	32321 26161	3	   	249.46	DCR|2VULN|3DUR|2DMG|1AART	1AART|2RMIN|39DMG|4DUST|59aDUR|6RCR|7RPLT|89VULN|9BPWR
138	26336 32315	10	 * 	249.12	DCR|3VULN|3DUR|1DMG	19aLWND|2ERES|39aVULN|47DUST|5DMG|69aDUR|8RCR|9aBPWR
139	21426 36313	9	   	249.12	DCR|3VULN|3DUR|1DMG	19LWND|2FEWX|39aVULN|4ERES|5DMG|679DUR|8RCR|9BPWR
140	26316 36313	9	   	249.12	DCR|3VULN|3DUR|1DMG	19LWND|2ERES|39aVULN|4FEWX|5DMG|679DUR|8RCR|9BPWR
141	26336 36313	9	   	249.02	DCR|3VULN|3DUR|1DMG	19LWND|2ERES|39aVULN|4DUST|5DMG|679DUR|8RCR|9BPWR
142	36246 33312	5	   	248.92	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1AART|2ERES|367VULN|4TLV|5CDMG|8DUR|9LIT|aRCR
143	36246 33312	6	   	248.92	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1AART|2ERES|367VULN|4TLV|5CDMG|8DUR|9LIT|aRCR
144	25421 22353	7	   	248.56	DCR|3VULN|2DMG|1DUR|1AART	17LWND|2DUR|37aVULN|4ERES|5MLV|67DMG|7BPWR|8AART|9RCR
145	26341 22353	7	   	248.56	DCR|3VULN|2DMG|1DUR|1AART	17LWND|2ERES|37aVULN|4DUR|5MLV|67DMG|7BPWR|8AART|9RCR
146	26351 22353	7	   	248.56	DCR|3VULN|2DMG|1DUR|1AART	17LWND|2ERES|37aVULN|4MLV|5DUR|67DMG|7BPWR|8AART|9RCR
147	33132 42161	2	   	248.41	DCR|4VULN|1DUR|2LIT|1AART	1AART|26LIT|3BEXP|4DUR|5679VULN|6BPWR|8RCVC|aRCR
148	34131 24571	9	   	248.12	DCR|3VULN|2DUR|2AART|2LIT	16AART|29DUR|3MBVNT|479VULN|59LIT|8RCR|9BPWR|aLHND
149	34131 24571	10	   	248.12	DCR|3VULN|2DUR|2AART|2LIT	16AART|29DUR|3MBVNT|479VULN|59LIT|8RCR|9BPWR|aCGEN
150	34131 24573	9	   	248.12	DCR|3VULN|2DUR|2AART|2LIT	16AART|29DUR|3MBVNT|479VULN|59LIT|8RCR|9BPWR|aRMIN
151	34131 24574	10	   	248.12	DCR|3VULN|2DUR|2AART|2LIT	16AART|29DUR|3MBVNT|479VULN|59LIT|8RCR|9BPWR|aLHND
152	34131 24574	9	   	248.12	DCR|3VULN|2DUR|2AART|2LIT	16AART|29DUR|3MBVNT|479VULN|59LIT|8RCR|9BPWR|aCGEN
153	34531 13334	7	   	248.12	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART|1SELL	1AART|2DUR|3ASPD|4TLV|5SELL|68aVULN|7RCR|9DMG
154	34131 24572	10	   	248.02	DCR|3VULN|2DUR|2AART|2LIT	16AART|29DUR|3MBVNT|479VULN|59LIT|8RCR|9BPWR|aERES
155	34136 22814	4	   	247.93	DCR|4VULN|2DUR|1AART	1AART|27DUR|3MBVNT|458aVULN|6RCR|9ZMB
156	34132 27114	4	   	247.93	DCR|4VULN|2DUR|1AART	1AART|25DUR|3MBVNT|489aVULN|6RCR|7ZMB
157	34162 27114	3	   	247.93	DCR|4VULN|2DUR|1AART	1AART|25DUR|3MBVNT|489aVULN|6RCR|7ZMB
158	34334 41211	5	   	247.86	DCR|2VULN|3DUR|2DMG|1AART|1SELL	1AART|28aDUR|3LIT|48VULN|58DMG|6SELL|7RCR|8BPWR|9LHND
159	34333 31512	7	   	247.69	DCR|2VULN|2DUR|1TLV|1CDMG|1ASPD|1AART	1AART|26DUR|3LIT|48VULN|5CDMG|7TLV|9ASPD|aRCR
160	35312 43262	4	   	247.37	DCR|3VULN|2DMG|2LIT|1AART	1AART|268BEXP|38LIT|4FEWX|569VULN|68BPWR|78DMG|aRCR
161	34256 12112	8	   	247.35	DCR|3VULN|2DUR|1CDMG|1AART	1AART|23DUR|3BPWR|4LHND|5CDMG|678VULN|9LIT|aRCR
162	35322 43262	4	   	247.27	DCR|3VULN|2DMG|2LIT|1AART	1AART|268BEXP|38LIT|4DUST|569VULN|68BPWR|78DMG|aRCR
163	26212 24215	5	   	247.21	DCR|3VULN|2DMG|1TLV	137LWND|25ERES|457VULN|57BPWR|67DMG|8LIT|9TLV|aRCR
164	26212 24215	4	   	247.21	DCR|3VULN|2DMG|1TLV	137LWND|2ERES|457VULN|67DMG|7BPWR|8LIT|9TLV|aRCR
165	23432 25223	4	 * 	247.14	DCR|5VULN|1DMG	1LWND|2LHND|36789VULN|4ZMB|5DMG|aRCR
166	23436 25223	5	   	247.14	DCR|5VULN|1DMG	1LWND|2LHND|36789VULN|4ZMB|5DMG|aRCR
167	23632 24314	1	   	247.10	DCR|4VULN|1TLV|1CDMG|1AART	1LWND|289aVULN|3AART|4TLV|5BEXP|6CDMG|7RCR
