0	Index      	 *	Score 	Summary	Detail	
117	52121 25215	   	161.56	DCR|2DMG|1VULN|1CDMG|1FLTHEA|2DUR	1aDMG|28DUR|3FEWX|4CDMG|5RPLT|6RCR|7FLTHEA|9VULN
118	13611 31652	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2LHND|3VULN|4DUR|56DMG|7LIT|8RCR|9AART|aCDMG
119	26611 24472	 * 	161.37	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1FEWX|2RMIN|3MBVNT|4DUR|5DMG|6RCR|78AART|9VULN|aCDMG
120	36611 22472	   	161.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2RMIN|3MBVNT|4DUR|5DMG|6RCR|78AART|9VULN|aCDMG
121	24611 24381	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8VULN|9CDMG|aLHND
122	24611 24383	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8VULN|9CDMG|aLWND
123	24611 24221	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8BEXP|9VULN|aCDMG
124	24611 24521	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8LHND|9VULN|aCDMG
125	52221 22553	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|3DUST|4CDMG|5RPLT|6RCR|7AART|8LIT|9ZMB|aVULN
126	62513 21333	   	160.86	DCR|4VULN|1DMG|1ASPD|1DUR	1ASPD|2DUR|35CGEN|4679VULN|8RCR|aDMG
127	42612 33324	   	160.85	DCR|2VULN|2DMG|1AART|1ASPD	13CGEN|23DMG|3BPWR|47VULN|5RPLT|6MLV|8ASPD|9AART|aRCR
128	51612 33324	   	160.85	DCR|2VULN|2DMG|1AART|1ASPD	13DMG|23CGEN|3BPWR|47VULN|5RPLT|6MLV|8ASPD|9AART|aRCR
129	24611 24341	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8VULN|9LEGI|aCDMG
130	24611 24382	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8VULN|9CDMG|aERES
131	24611 24721	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8DUST|9VULN|aCDMG
132	34611 22221	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8BEXP|9VULN|aCDMG
133	34611 22381	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8VULN|9CDMG|aLHND
134	34611 22383	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8VULN|9CDMG|aLWND
135	34611 22521	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8LHND|9VULN|aCDMG
136	34611 22821	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8FEWX|9VULN|aCDMG
137	62311 25236	   	160.75	DCR|3DMG|1VULN|2DUR|1ZMB|1ASPD	1ASPD|2aDUR|3TLV|4VULN|5aFEWX|6ZMB|78aDMG|9RCR|aBPWR
138	34611 22341	   	160.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8VULN|9LEGI|aCDMG
139	34611 22382	   	160.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|8VULN|9CDMG|aERES
140	32522 25236	   	160.55	DCR|3DMG|1VULN|2DUR|1ZMB|1ASPD	1DUST|2aDUR|3VULN|4ASPD|5aERES|6ZMB|78aDMG|9RCR|aBPWR
