0	Index      	 *	Score 	Summary	Detail	
151	32311 51542	   	165.67	ACR|2AART|1VULN|1CDMG|2DUR|1ZMB|1ASPD	1LHND|25AART|39DUR|4RCR|6CDMG|7ASPD|8ZMB|aVULN
152	32311 51543	   	165.67	ACR|2AART|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1LHND|25AART|39DUR|4RCR|6CDMG|7ASPD|8ZMB|aDMG
153	22163 32253	   	165.57	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2AART|3LIT|4CGEN|5ZMB|6DUR|7RCR|89DMG|aVULN
154	32163 32222	   	165.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2AART|3LIT|4CGEN|5ZMB|6DUR|7RCR|8DMG|9aVULN
155	32163 32253	   	165.57	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3LIT|4CGEN|5ZMB|6DUR|7RCR|89DMG|aVULN
156	52163 22222	   	165.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2AART|3LIT|4CGEN|5ZMB|6aVULN|7RCR|8DMG|9DUR
157	52163 32253	   	165.57	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2AART|3LIT|4CGEN|5ZMB|6DUR|7RCR|89DMG|aVULN
158	22154 14112	   	165.54	ACR|2VULN|2DMG|1AART	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7RCVC|8aVULN|9CGEN
159	22154 14122	   	165.54	ACR|2VULN|2DMG|1AART	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7RCVC|8aVULN|9MLV
160	32154 12112	   	165.54	ACR|2VULN|2DMG|1AART	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7RCVC|8aVULN|9CGEN
161	32154 12122	   	165.54	ACR|2VULN|2DMG|1AART	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7RCVC|8aVULN|9MLV
162	32154 12352	   	165.54	ACR|2VULN|2DMG|1AART	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7RCVC|8MLV|9aVULN
163	22143 32253	   	165.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2AART|3LIT|4ERES|5ZMB|6DUR|7RCR|89DMG|aVULN
164	32143 32222	   	165.47	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2AART|3LIT|4ERES|5ZMB|6DUR|7RCR|8DMG|9aVULN
