0	Index      	 *	Score 	Summary	Detail	
115	31243 23461	   	165.81	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2TLV|3DMG|4ZMB|5AART|6aVULN|7RPLT|8DUR|9RCR
116	31243 43261	   	165.81	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2TLV|3DMG|4ZMB|5AART|6DUR|7RPLT|8aVULN|9RCR
117	16352 12342	   	165.49	DCR|2VULN|2DMG|1CDMG|2DUR	1ERES|2aDMG|39LIT|4CDMG|5aVULN|6RCR|7SNIHEL|8aDUR|aBPWR
118	35213 12423	 * 	165.44	DCR|2AART|1VULN|1DMG|2ASPD|1ZMB	14ASPD|2FEWX|3aAART|5RCVC|6ZMB|7RCR|8DMG|9VULN
119	35215 12423	   	165.44	DCR|2AART|1VULN|1DMG|2ASPD|1ZMB	14ASPD|2FEWX|3aAART|5DMSP|6ZMB|7RCR|8DMG|9VULN
120	16352 12312	   	165.39	DCR|2VULN|2DMG|1CDMG|2DUR	19ERES|2aDMG|3LIT|4CDMG|5aVULN|6RCR|7SNIHEL|8aDUR|aBPWR
121	22264 34332	   	165.36	DCR|2AART|2VULN|1CDMG|1ZMB	1DUST|2ZMB|3aAART|4RCVC|59VULN|6RCR|7LWND|8CDMG
122	14134 23422	 * 	165.35	ACR|2VULN|2AART|1DMG|1ZMB|1SELL	1ERES|28VULN|3SELL|4DMG|5RCR|6aAART|7ZMB|9LWND
123	14134 22212	 * 	165.25	ACR|2VULN|2AART|1DMG|1ZMB|1SELL	1ERES|28VULN|3SELL|4DMG|5RCR|6aAART|7LEGI|9ZMB
124	14134 22332	 * 	165.25	ACR|2VULN|2AART|1DMG|1ZMB|1SELL	1ERES|29VULN|3SELL|4DMG|5RCR|6aAART|7LEGI|8ZMB
125	36623 52132	 * 	164.99	DCR|2AART|2DMG|1CDMG|1ASPD|1DUR|1SELL	1ASPD|2aDMG|3DUR|46AART|5SELL|7RCR|8DUST|9CDMG
126	35263 12422	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|2FEWX|3AART|45RCVC|6ZMB|7RCR|8aDMG|9VULN
127	31321 44432	 * 	164.91	DCR|3VULN|1AART|1CDMG|1ASPD	1ASPD|2TLV|3BEXP|4AART|59aVULN|6RCR|7CGEN|8CDMG
128	36321 12423	   	164.84	DCR|2AART|1VULN|1DMG|2ASPD|1ZMB	19ASPD|2DMG|3LHND|4aAART|5VULN|6BEXP|7RCR|8ZMB
129	31213 14133	 * 	164.83	DCR|2DMG|1AART|3ASPD|2CDMG|1DUR	179ASPD|2TLV|39DMG|4LSRICY|5DUR|6AART|89CDMG|9BPWR|aRCR
130	14134 23232	 * 	164.80	ACR|2DMG|1AART|1VULN|2ZMB|1ASPD|1SELL	19ERES|2VULN|3SELL|49DMG|5RCR|6AART|79ZMB|8RCVC|9BPWR|aASPD
131	14134 23236	 * 	164.80	ACR|2DMG|1AART|1VULN|2ZMB|1DUR|1SELL	19ERES|2VULN|3SELL|49DMG|5RCR|6AART|79ZMB|8RCVC|9BPWR|aDUR
132	14134 23532	 * 	164.80	ACR|2DMG|1AART|1VULN|2ZMB|1ASPD|1SELL	19ERES|2VULN|3SELL|49DMG|5RCR|6AART|79ZMB|8DMSP|9BPWR|aASPD
133	21521 42332	   	164.66	DCR|2AART|2VULN|1CDMG|1ZMB	12DUST|3LHND|4aAART|59VULN|6RCR|7ZMB|8CDMG
134	24121 42332	   	164.66	DCR|2AART|2VULN|1CDMG|1ZMB	13DUST|2LHND|4aAART|59VULN|6RCR|7ZMB|8CDMG
135	61121 42332	   	164.66	DCR|2AART|2VULN|1CDMG|1ZMB	1LWND|23DUST|4aAART|59VULN|6RCR|7ZMB|8CDMG
136	11221 42332	   	164.56	DCR|2AART|2VULN|1CDMG|1ZMB	1ERES|2TLV|3DUST|4aAART|59VULN|6RCR|7ZMB|8CDMG
137	14621 22263	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2aVULN|3MGNSTR|4DMG|5LIT|6CDMG|7RCR|8AART|9ASPD
138	36321 26331	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3LHND|4AART|59VULN|6CDMG|7DUST|8RCR|aCGEN
139	36321 26332	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3LHND|4AART|59VULN|6CDMG|7DUST|8RCR|aRCVC
140	36321 26333	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3LHND|4AART|59VULN|6CDMG|7DUST|8RCR|aRPLT
141	36321 26335	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3LHND|4AART|59VULN|6CDMG|7DUST|8RCR|aLWND
142	36321 26341	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3LHND|4AART|5aVULN|6CDMG|7DUST|8RCR|9BEXP
143	36321 26336	   	164.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3LHND|4AART|59VULN|6CDMG|7aDUST|8RCR
144	36321 12431	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2DMG|3LHND|4AART|59VULN|6BEXP|7RCR|8ZMB|aRCVC
145	36321 12432	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2DMG|3LHND|4AART|59VULN|6BEXP|7RCR|8ZMB|aFEWX
146	36321 62431	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2DMG|3LHND|4AART|59VULN|6LWND|7RCR|8ZMB|aBELT
147	36321 62433	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2DMG|3aLHND|4AART|59VULN|6LWND|7RCR|8ZMB
148	36321 12435	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2DMG|3LHND|4AART|59VULN|6BEXP|7RCR|8ZMB|aAIRHEL
149	36321 12436	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2DMG|3LHND|4AART|59VULN|6BEXP|7RCR|8ZMB|aERES
