0	Index      	 *	Score 	Summary	Detail	
103	31131 61115	   	197.62	ACR|1BASARM|2VULN|1ASPD|1BEXP	18AEMAG|2RCR|34VULN|5ASPD|6AIRARM|7MDPS|9BASARM|aBEXP
104	52363 33253	   	197.30	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CGEN|2LHND|3BASARM|4RCVC|5RCR|6DMG|7VULN|8BEXP|9CDMG|aAART
105	31131 35151	 * 	196.61	ACR|4VULN|2ASPD|2CDMG	18AEMAG|2RCR|348aVULN|5aASPD|6MLV|78CGEN|8aBPWR|9aCDMG
106	31131 51151	   	196.61	ACR|4VULN|2ASPD|2CDMG	18AEMAG|2RCR|348aVULN|5aASPD|6CGEN|78MLV|8aBPWR|9aCDMG
107	31131 31151	   	196.41	ACR|4VULN|2ASPD|2CDMG	18AEMAG|2RCR|348aVULN|5aASPD|6MLV|78AME|8aBPWR|9aCDMG
108	31131 34151	   	196.41	ACR|4VULN|2ASPD|2CDMG	18AEMAG|2RCR|348aVULN|5aASPD|6MLV|78TLV|8aBPWR|9aCDMG
109	31131 54151	   	196.41	ACR|4VULN|2ASPD|2CDMG	18AEMAG|2RCR|348aVULN|5aASPD|6CGEN|78AME|8aBPWR|9aCDMG
110	31131 55151	   	196.41	ACR|4VULN|2ASPD|2CDMG	18AEMAG|2RCR|348aVULN|5aASPD|6CGEN|78ERES|8aBPWR|9aCDMG
111	61115 34332	 * 	196.20	ACR|3ASPD|1BASARM|1BEXP	19aASPD|2FEWX|3BEXP|4MLV|5RCR|6ERES|7BASARM|8RPLT
112	62115 34332	   	196.20	ACR|3ASPD|1BASARM|1BEXP	19aASPD|2LHND|3BEXP|4MLV|5RCR|6ERES|7BASARM|8RPLT
113	51363 33221	 * 	196.10	ACR|1BASARM|3BEXP|1DMG	1CGEN|2FEWX|3BASARM|4RCVC|5RCR|6DMG|7VULN|89aBEXP
114	52363 33221	   	196.10	ACR|1BASARM|3BEXP|1DMG	1CGEN|2LHND|3BASARM|4RCVC|5RCR|6DMG|7VULN|89aBEXP
115	31165 23141	   	196.06	ACR|2ASPD|1DMG|1BEXP|1AART|1AAC	1AEMAG|2RCR|3VULN|4BEXP|5AAC|6DMG|7AART|8RCVC|9aASPD
116	31132 21663	   	196.00	ACR|1BASARM|3VULN|1ASPD	1AEMAG|2RCR|346VULN|5FEWX|7AME|8DLOT|9ASPD|aBASARM
117	31132 24663	   	196.00	ACR|1BASARM|3VULN|1ASPD	1AEMAG|2RCR|346VULN|5FEWX|7TLV|8DLOT|9ASPD|aBASARM
118	31111 21663	   	195.90	ACR|1BASARM|3VULN|1ASPD	1AEMAG|2RCR|356VULN|4LEGI|7AME|8DLOT|9ASPD|aBASARM
119	31111 24663	   	195.90	ACR|1BASARM|3VULN|1ASPD	1AEMAG|2RCR|356VULN|4LEGI|7TLV|8DLOT|9ASPD|aBASARM
120	31121 21663	   	195.90	ACR|1BASARM|3VULN|1ASPD	1AEMAG|2RCR|356VULN|4DUST|7AME|8DLOT|9ASPD|aBASARM
121	31121 24663	   	195.90	ACR|1BASARM|3VULN|1ASPD	1AEMAG|2RCR|356VULN|4DUST|7TLV|8DLOT|9ASPD|aBASARM
122	31326 13124	 * 	195.90	ACR|3DMG|3BEXP	19AEMAG|2RCR|3aERES|4RPLT|59aDMG|6VULN|7CGEN|89aBEXP|9aBPWR
123	31426 13124	   	195.90	ACR|3DMG|3BEXP	19AEMAG|2RCR|3aTLV|4RPLT|59aDMG|6VULN|7CGEN|89aBEXP|9aBPWR
124	31412 22333	   	195.65	ACR|2DMG|2BEXP|1ASPD|1CDMG	1aAEMAG|2RCR|3TLV|4BELT|5aDMG|6ASPD|7CDMG|8DMSP|9aBEXP|aBPWR
125	31412 22533	   	195.65	ACR|2DMG|2BEXP|1ASPD|1CDMG	1aAEMAG|2RCR|3TLV|4BELT|5aDMG|6ASPD|7CDMG|8RCVC|9aBEXP|aBPWR
126	31623 52332	   	195.65	ACR|2DMG|2BEXP|1ASPD|1AART	19AEMAG|2RCR|3DMSP|4AART|59BEXP|6RPLT|79DMG|8NUKE|9BPWR|aASPD
127	31626 53311	   	195.54	ACR|1BASARM|2ASPD|1AART	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7RMIN|9aFEWX
128	31626 53312	   	195.54	ACR|1BASARM|2ASPD|1AART	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7RMIN|9FEWX|aMLV
129	31626 53313	   	195.54	ACR|1BASARM|2ASPD|1AART	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7RMIN|9FEWX|aLWND
130	31111 62531	 * 	195.45	ACR|2ASPD|2BEXP|2VULN|1AART	1AEMAG|2RCR|35VULN|4LEGI|6AART|7aASPD|89BEXP
131	31626 53131	   	195.44	ACR|1BASARM|2ASPD|1AART	1aAEMAG|2RCR|3DMSP|4AART|5aASPD|6BASARM|7RMIN|8LWND|9aSPLREG|aBPWR
132	31626 53231	   	195.44	ACR|1BASARM|2ASPD|1AART	1aAEMAG|2RCR|3DMSP|4AART|5aASPD|6BASARM|7RMIN|8DUR|9aSPLREG|aBPWR
133	31533 23541	   	195.43	ACR|2ASPD|2VULN|1DMG|1AART|1AAC	1AEMAG|2RCR|3FEWX|4AAC|58VULN|6DMG|7AART|9aASPD
134	31626 52332	   	195.34	ACR|1BASARM|2ASPD|1AART	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7MLV|9ERES|aFLTARM
135	31626 52333	   	195.34	ACR|1BASARM|2ASPD|1AART	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7MLV|9ERES|aMBVNT
136	31626 53332	   	195.34	ACR|1BASARM|2ASPD|1AART	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7RMIN|9ERES|aMSLREG
137	31626 53333	   	195.34	ACR|1BASARM|2ASPD|1AART	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7RMIN|9ERES|aMBVNT
138	31125 23541	   	195.33	ACR|2ASPD|2VULN|1DMG|1AART|1AAC	1AEMAG|2RCR|38VULN|4DUST|5AAC|6DMG|7AART|9aASPD
139	31131 12531	   	195.12	ACR|3VULN|1ASPD|1BASICY|1BEXP|1CDMG	1AEMAG|2RCR|347VULN|5ASPD|6BASICY|8CDMG|9MLV|aBEXP
140	31133 62165	 * 	194.65	ACR|3ASPD|3VULN|1AART	1AEMAG|2RCR|34aVULN|5LHND|6AART|789ASPD
141	31111 62165	   	194.55	ACR|3ASPD|3VULN|1AART	1AEMAG|2RCR|35aVULN|4LEGI|6AART|789ASPD
142	62115 34333	   	194.19	ACR|1BASARM|2ASPD|1AART|1BEXP	19ASPD|2LHND|3BEXP|4MLV|5RCR|6ERES|7BASARM|8RPLT|aAART
143	31626 51121	 * 	194.11	ACR|1BASARM|1ASPD|2AAC|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7LHND|89AAC|aFEWX
144	31626 51123	   	194.11	ACR|1BASARM|1ASPD|2AAC|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7LHND|89AAC|aRMIN
145	31626 51122	   	194.01	ACR|1BASARM|1ASPD|2AAC|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7LHND|89AAC|aAME
146	31125 14113	   	193.94	ACR|2BASARM|1ASPD|1AAC	18AEMAG|2RCR|3VULN|4DUST|5AAC|6LWND|79BASARM|aASPD
147	31533 34113	   	193.94	ACR|2BASARM|1DMG|1AAC	18AEMAG|2RCR|3FEWX|4AAC|5VULN|6DUST|79BASARM|aDMG
