0	Index      	 *	Score 	Summary	Detail	
125	13323 54131	   	171.73	DCR|3DMG|2VULN|2CDMG	1aCDMG|2RCVC|37aDMG|4LWND|5DUST|6aVULN|8MBVNT|9RCR|aBPWR
126	13342 25131	   	171.73	DCR|3DMG|2VULN|2CDMG	1aCDMG|2RCVC|34aDMG|5LWND|6DUST|7aVULN|8MBVNT|9RCR|aBPWR
127	12225 21634	 * 	171.71	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	17CDMG|2LWND|3DUST|48VULN|5RCR|6DMG|9ZMB|aAART
128	32116 26325	   	171.66	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2AART|36DMG|4RMIN|57VULN|8CDMG|9RPLT|aRCR
129	11612 31212	 * 	171.53	ACR|2DMG|3CDMG|1AART|1ZMB|1DUR	16aCDMG|2RMIN|3RCR|4aDMG|5DUR|7AART|8ZMB|9aLIT|aBPWR
130	14236 25112	   	171.49	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6AART|7RPLT|8LWND|9RCR|aZMB
131	14236 25212	   	171.49	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6AART|7RPLT|8LHND|9RCR|aZMB
132	14236 25312	   	171.49	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6AART|7RPLT|8BEXP|9RCR|aZMB
133	14621 42222	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1CDMG|24DMG|3RMIN|5DUR|6RCR|7LIT|89VULN|aZMB
134	11613 14241	   	171.20	ACR|2VULN|2DMG|2CDMG|1ZMB	1aCDMG|2RMIN|3RCR|47DMG|5aLHND|6ZMB|8FEWX|9aVULN|aBPWR
135	11241 41212	   	171.11	DCR|2DMG|3CDMG|1AART|1ZMB|1DUR	13aCDMG|2RMIN|3aBPWR|4aDMG|5DUR|6RCR|7AART|8ZMB|9aLIT
136	22521 24161	 * 	171.10	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1LIT|2aASPD|38VULN|4ZMB|5aDUST|6RCR|7DUR|9aDMG|aBPWR
137	11613 13243	   	171.10	ACR|2VULN|2DMG|2CDMG|1ZMB	1aCDMG|2RMIN|3RCR|4aDMG|5LHND|6ZMB|7RPLT|8LEGI|9aVULN|aBPWR
138	14236 13222	   	171.05	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1SELL	13CDMG|23DMG|3BPWR|4VULN|5MLV|6SELL|7RCVC|8ZMB|9RCR|aAART
139	12326 12661	   	171.03	ACR|2VULN|2DMG|2CDMG|2DUR	1aCDMG|2LWND|3RCVC|4aDMG|5RCR|6LHND|79DUR|8aVULN|aBPWR
140	14244 31323	   	170.78	DCR|3DMG|1VULN|2CDMG|1ZMB|1ASPD	13CDMG|234DMG|3BPWR|5MBVNT|6VULN|7RPLT|8RCR|9ZMB|aASPD
141	32354 23421	 * 	170.64	ACR|3DMG|1AART|1VULN|1ASPD	15LWND|2AART|3FEWX|4RCR|678DMG|9ASPD|aVULN
142	32556 12213	   	170.64	ACR|3VULN|1AART|1DMG|1DUR	1LWND|2AART|3DUR|4RCR|58aVULN|6RPLT|7FEWX|9DMG
143	14214 42222	   	170.58	DCR|2VULN|2DMG|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4TLV|5FEWX|6RCR|7LIT|89VULN|aZMB
144	32252 31256	   	170.50	ACR|2AART|2VULN|1DMG|1ZMB	1LWND|28AART|3LHND|4RCR|5ZMB|6LIT|79VULN|aDMG
145	13343 61311	   	170.43	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|2RCVC|346DMG|5RMIN|7AART|8VULN|9BEXP|aRCR
146	32252 43234	 * 	170.34	ACR|2VULN|1AART|2ZMB|1CDMG|1FLTHEA	17LWND|2AART|3LHND|4RCR|57ZMB|67VULN|7BPWR|8CDMG|9FEWX|aFLTHEA
147	32111 44421	   	170.32	DCR|3DMG|1AART|1VULN|1ASPD	1LWND|2AART|368DMG|4RMIN|56CGEN|6BPWR|7RCR|9ASPD|aVULN
148	11656 32121	   	170.29	ACR|3VULN|1DMG|2CDMG|2DUR	18CDMG|2RMIN|3RCR|469VULN|57DUR|aDMG
149	34632 53312	 * 	170.24	DCR|3VULN|3ZMB|1AART|1DUR	17LWND|2DUST|379ZMB|4AART|567VULN|7BPWR|8DUR|aRCR
150	14211 22265	   	170.22	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	13CDMG|23DMG|3BPWR|4TLV|57DUR|6AART|8RPLT|9VULN|aRCR
151	32252 43221	   	170.22	ACR|2VULN|3ZMB|1AART|1CDMG	17LWND|2AART|3LHND|4RCR|57aZMB|67VULN|7BPWR|8CDMG|9CGEN
152	32252 43241	   	170.22	ACR|2VULN|3ZMB|1AART|1CDMG	17LWND|2AART|3LHND|4RCR|579ZMB|67VULN|7BPWR|8CDMG|aRMIN
153	32252 43242	   	170.22	ACR|2VULN|3ZMB|1AART|1CDMG	17LWND|2AART|3LHND|4RCR|579ZMB|67VULN|7BPWR|8CDMG|aBEXP
154	32252 43261	   	170.22	ACR|2VULN|3ZMB|1AART|1CDMG	17LWND|2AART|3LHND|4RCR|57aZMB|67VULN|7BPWR|8CDMG|9RMIN
155	32252 43324	   	170.22	ACR|2VULN|3ZMB|1AART|1CDMG	17LWND|2AART|3LHND|4RCR|578ZMB|67VULN|7BPWR|9MLV|aCDMG
156	14211 41215	   	170.16	DCR|2DMG|1AART|2CDMG|2DUR|1ZMB	13CDMG|23DMG|3BPWR|4TLV|5aDUR|6RCR|7AART|8ZMB|9LIT
