0	Index      	Bounty	 *	Score 	Summary	Detail	
169	42642 21321	4	   	249.85	DCR|3VULN|2DUR|1TLV|1AART	1TLV|2AART|37DUR|4LIT|5TBNT|689VULN|aRCR
170	12133 66631	10	   	249.79	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1LHND|24DMG|3CDMG|56VULN|7aDUR|8AART|9RCR
171	25312 36311	8	   	249.56	DCR|4VULN|1DMG|1CDMG	1LIT|267aVULN|3RPLT|4DMG|5ZMB|8RCR|9CDMG
172	25316 34214	7	   	249.46	DCR|4VULN|1DMG|1CDMG	1LIT|2689VULN|3RPLT|4DMG|5MBVNT|7CDMG|aRCR
173	25316 37214	6	   	249.46	DCR|4VULN|1DMG|1CDMG	1LIT|2689VULN|3RPLT|4DMG|5MBVNT|7CDMG|aRCR
174	24316 11611	4	   	249.40	DCR|2VULN|3DMG|1TLV|1CDMG	1LIT|237DMG|4TLV|59VULN|6MBVNT|8CDMG|aRCR
175	24316 11611	5	   	249.40	DCR|2VULN|3DMG|1TLV|1CDMG	1LIT|237DMG|4TLV|59VULN|6MBVNT|8CDMG|aRCR
176	24351 41611	5	   	249.40	DCR|2VULN|3DMG|1TLV|1CDMG	1LIT|237DMG|4MBVNT|59VULN|6TLV|8CDMG|aRCR
177	24351 41611	6	   	249.40	DCR|2VULN|3DMG|1TLV|1CDMG	1LIT|237DMG|4MBVNT|59VULN|6TLV|8CDMG|aRCR
178	24353 41611	4	   	249.40	DCR|2VULN|3DMG|1TLV|1CDMG	1LIT|237DMG|4MBVNT|59VULN|6TLV|8CDMG|aRCR
179	24531 13212	5	   	249.40	DCR|2VULN|3DMG|1DUR|1CDMG	1LIT|247DMG|35VULN|6BBNT|8RCR|9DUR|aCDMG
180	24531 16212	4	   	249.40	DCR|2VULN|3DMG|1DUR|1CDMG	1LIT|245DMG|36VULN|7TBNT|8RCR|9DUR|aCDMG
181	24533 13212	4	   	249.40	DCR|2VULN|3DMG|1DUR|1CDMG	1LIT|247DMG|35VULN|6BBNT|8RCR|9DUR|aCDMG
