0	Index      	 *	Score 	Summary	Detail	
128	31211 23411	   	169.80	DCR|3DMG|1AART|1ZMB|1ASPD|1DUR	1ERES|2ASPD|3AART|478DMG|5ZMB|6RCR|9DUR|aLIT
129	31211 23412	   	169.80	DCR|3DMG|1AART|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|478DMG|5ZMB|6RCR|9DUR|aCGEN
130	31211 23413	   	169.80	DCR|3DMG|1AART|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|478DMG|5ZMB|6RCR|9DUR|aMLV
131	31211 23415	   	169.80	DCR|3DMG|1AART|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|478DMG|5ZMB|6RCR|9DUR|aRPLT
132	61312 61422	 * 	169.77	ACR|2VULN|2AART|1DMG|1ASPD|1DUR	1CGEN|2ASPD|3DUR|4RCR|56VULN|7RMIN|8aAART|9DMG
133	31211 26431	   	169.70	DCR|3DMG|1AART|1ZMB|1ASPD|1DUR	1aERES|2ASPD|3AART|48aDMG|5ZMB|6RCR|7DUR|9aAIRHEA|aBPWR
134	31211 23414	   	169.70	DCR|3DMG|1AART|1ZMB|1DUR|1ASPD	1aERES|2ASPD|3AART|478DMG|5ZMB|6RCR|9DUR
135	31216 11244	   	169.64	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1ERES|2ASPD|3AART|4DMG|57CDMG|6RCR|8CGEN|9VULN|aZMB
136	31216 14362	   	169.64	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1ERES|2ASPD|3AART|4DMG|5aCDMG|6RCR|7ZMB|8MGNLIT|9VULN
137	13236 43163	   	169.52	DCR|4VULN|1AART|1ZMB	1BELT|278aVULN|3RPLT|4AART|5MLV|6RCR|9ZMB
138	13434 53122	   	169.42	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1BELT|28VULN|38CGEN|4RCR|5FEWX|6CDMG|78DMG|8BPWR|9ZMB|aDUR
